pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,raw_mces_result,error_message
4505,CC(C)C1=CCC(C)C=C1,C[N+]1=CC=CC(=C1)C(N)=O,136.23799999999997,137.162,0.924000000000035,0.7080934047698975,0.21852850914001465,14.0,4,0,0,,"(0, 14.0, 0.21852850914001465, 4)",
27057,CC1=CC=CC(=N1)C(O)=O,OCC(=O)C1=CC=CC=C1,137.138,136.14999999999998,0.988000000000028,0.6710178852081299,0.2125098705291748,8.0,1,0,0,,"(0, 8.0, 0.2125098705291748, 1)",
32671,OC(=O)CCCCCC\C=C\C=O,[O-][N+](=O)N(C1=CC=CC=C1)[N+]([O-])=O,184.235,183.12299999999996,1.1120000000000516,0.645057201385498,0.1955256462097168,20.0,4,0,0,,"(0, 20.0, 0.1955256462097168, 4)",
60629,OCC(CO)(CO)CO[N+]([O-])=O,[H]\C(CCCCC)=C(/[H])CCCCCC,181.14399999999998,182.35099999999997,1.2069999999999936,0.6925516128540039,0.21642184257507324,19.0,4,0,0,,"(0, 19.0, 0.21642184257507324, 4)",
85836,OCC1(O)OCC(O)C(O)C1O,CCCC1=NC=CC(=C1)C(S)=N,180.156,180.276,0.12000000000000455,0.6670782566070557,0.19901680946350098,18.0,4,0,0,,"(0, 18.0, 0.19901680946350098, 4)",
94379,CCCC[C@@H]1OC(=O)[C@@H]2C=CCC[C@H]12,CNCC(O)C(O)C(O)C(O)CO,194.27399999999997,195.21499999999997,0.9410000000000025,0.6615989208221436,0.1900167465209961,15.0,4,0,0,,"(0, 15.0, 0.1900167465209961, 4)",
101916,NC[C@H](O)C1=CC(O)=C(O)C=C1,NC1=NC=C(C=C1)C1=CC=CC=C1,169.18,170.215,1.0349999999999966,0.7012734413146973,0.2175462245941162,11.0,4,0,0,,"(0, 11.0, 0.2175462245941162, 4)",
