pair_id,smiles1,smiles2,mass1,mass2,mass_diff,runtime_sec,runtime_inside_mces,distance,compute_mode,skipped,solverCalled,ilp_solver,raw_mces_result,error_message
964,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)(COP(O)(O)=O)OC(=O)CCCCCCC[C@H](O)[C@@H](O)C\C=C/CCCCC,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(=O)OC[C@H](COP(O)(O)=O)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)[C@@H](O)CC1=O,819.1549999999996,819.0259999999998,0.12899999999979173,16.16940450668335,15.664897680282593,10,2,0,0,,"(0, 10, 15.664897680282593, 2)",
1073,[H][C@](COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCC,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC,849.4199999999993,849.4199999999994,1.1368683772161603e-13,60,,,,1,0,,,Exceeded 60 seconds
1586,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC,[H][C@@](COC(=O)CC\C=C/CC(O)\C=C/C=C\C\C=C/C\C=C/C\C=C/CC)(COP(O)(=O)OC[C@H](N)C(O)=O)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,849.4199999999993,848.0679999999995,1.351999999999748,0.6994271278381348,0.26400041580200195,25.0,4,0,0,,"(0, 25.0, 0.26400041580200195, 4)",
3772,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)C)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCC,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)COP(O)(=O)OC[C@@H](O)CO,905.527999999999,905.2009999999998,0.3269999999992024,0.7018876075744629,0.2646515369415283,23.0,4,0,0,,"(0, 23.0, 0.2646515369415283, 4)",
3995,[H][C@@](CO\C=C\CCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C=C/[C@H](O)CC,[H][C@](COC(=O)CCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCC,808.1349999999999,807.3389999999995,0.7960000000003902,0.6969587802886963,0.2556931972503662,27.0,4,0,0,,"(0, 27.0, 0.2556931972503662, 4)",
4683,CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O[C@H](COC(=O)CCC\C=C/C[C@H]1C=CC(=O)[C@@H]1\C=C\[C@@H](O)CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCC,834.0849999999999,835.3929999999995,1.307999999999538,0.697009801864624,0.26256608963012695,29.0,4,0,0,,"(0, 29.0, 0.26256608963012695, 4)",
7023,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC,877.4739999999993,877.4739999999991,1.1368683772161603e-13,60,,,,1,0,,,Exceeded 60 seconds
7405,[H][C@](COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)(COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCC(C)C,[H][C@@](COC(=O)CCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCCC,891.5009999999992,891.5009999999993,1.1368683772161603e-13,60,,,,1,0,,,Exceeded 60 seconds
7894,[H][C@@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCC,[H][C@@](COC(=O)CCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC,821.3659999999995,821.3659999999996,1.1368683772161603e-13,15.280599355697632,14.805701971054077,4.0,1,0,0,,"(0, 4.0, 14.805701971054077, 1)",
8280,CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](O)[C@@H](O)[C@H]2OP(O)(=O)OC[C@@H](COC(=O)CCC\C=C/C[C@@H]([C@@H](O)CC1=O)[C@@H](O)[C@H](O)[C@H]2O)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,[H][C@@](COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C=C/[C@@H](O)CC)(COP(O)(=O)O[C@H]1C(O)C(O)C(O)[C@@H](OP(O)(O)=O)C1O)OC(=O)CCCCCCCCCCCCC\C=C/CC,979.1510000000001,979.0879999999996,0.06300000000044292,0.7003781795501709,0.2643864154815674,15.0,4,0,0,,"(0, 15.0, 0.2643864154815674, 4)",
